school_name,url_address,address,postal_code,telephone_no,telephone_no_2,fax_no,fax_no_2,email_address,mrt_desc,bus_desc,principal_name,first_vp_name,second_vp_name,third_vp_name,fourth_vp_name,fifth_vp_name,visionstatement_desc,missionstatement_desc,philosophy_culture_ethos,dgp_code,zone_code,cluster_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,mothertongue1_code,mothertongue2_code,mothertongue3_code,special_sdp_offered
INNOVA JUNIOR COLLEGE,http://www.innovajc.moe.edu.sg/,21 CHAMPIONS WAY,737902,63983401,na,68943655,na,innova_jc@moe.edu.sg,Woodlands MRT,"161,168,901,900A",MR MICHAEL DE SILVA,"MR SOH SZE FUN, VICTOR",MR TAY YUAN ZHUANG,MDM LEE BENG CHOO,na,na,A forward-looking community of leaders and thinkers,Develop future-ready leaders and thinkers,na,WOODLANDS,NORTH,NORTH 7,GOVERNMENT SCHOOL,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,No,No,No,No,Chinese,Malay,Tamil,"Future Readiness Development Programme, Student Leadership Development Programme, Innova Confident Communicators (ICON) Programme, Global Immersion and Exchange Programmes, Innova Scholars Programme (ISP)."
EUNOIA JUNIOR COLLEGE,na,53 MOUNT SINAI ROAD,276880,na,na,na,na,na,na,na,MDM CHEANG MEI HENG,MR BOY ENG SENG,MR POH CHUN LECK,na,na,na,na,na,na,NO,NORTH,NORTH 1,GOVERNMENT SCHOOL,CO-ED SCHOOL,na,JUNIOR COLLEGE,No,No,No,Yes,Chinese,Malay,Tamil,na
CATHOLIC JUNIOR COLLEGE,http://www.cjc.edu.sg,129 WHITLEY ROAD,297822,62524083,na,62537267,na,catholic_jc@moe.edu.sg,Toa Payoh MRT Station Novena MRT Station Orchard MRT Station,"105, 132, 151, 153, 154, 156, 186, 996, 985",MDM CHUA SUAN GEK PHYLLIS,MR TAN JEK SUAN,MRS YUE-CHANG TECK HUI,MR GAN THIAM SOON ALLAN,na,na,CJC: a place of excellence in learning and living.,"We cultivate in each young person the skill and attitude to embrace challenges wisely and courageously. We foster a community that cares for the dignity of young people, nurturing them to be men and women of compassion. We broaden their vision so that they become leaders committed to serve in faith and with integrity.",na,NOVENA,SOUTH,SOUTH 5,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,No,No,No,No,na,na,na,Religious / Ethics Programme Overseas Community Projects (10 countries 2008) National Youth Achievement Award (NYAA)  Integrated Leadership Development COL@C : Curriculum Online At CJC
ANGLO-CHINESE JUNIOR COLLEGE,http://www.acjc.edu.sg,25 DOVER CLOSE EAST,139745,67750511,na,67775479,na,acjc@acjc.edu.sg,Buona Vista,"74,95,100,105,106,111,145,147,191,196,198,602",MISS CHONG CHOY HOONG BEATRICE,MDM SEOW HONG KIANG,MRS LEE BEE CHEOW,MR DAVID ALLAN D'SOUZA,na,na,"Noble Ambition and Character, for the Service of God and nation.","ACJC is a Methodist Institution committed to an all-round education of the highest standards based on Christian principles and a consciousness of self, others and God.",na,QUEENSTOWN,WEST,WEST 1,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,No,No,No,No,na,na,na,"MOE Music and Drama Elective, MOE Humanities and Pre-U Scholarships,  Science Research Programme, ACJC-A*STAR Science Research Symposium, Humanities Symposia, ACJC-EDB Entrepreneurship Education Programme, Performing Arts Programme, ACJC Seminar Series, Extensive Community Involvement Programmes"
ST. ANDREW'S JUNIOR COLLEGE,http://www.standrewsjc.moe.edu.sg/,5 SORBY ADAMS DRIVE,357691,62857008,62852007,62850037,na,sajc@moe.edu.sg,Potong Pasir NE10,"SBSTransit: 8, 26, 31, 90, 142 ,151, 154 (Diocese of Singapore) SMRT Buses:  857, 966, 985 (Diocese of Singapore),  853 (Upper Serangoon Road)",MR LO KHEE TIAN MARK,MR ANG KHENG SAN CECIL,MR CHAN KWANG HOW BERNARD,na,na,na,Home of Servant Leaders Who Bring Life To The Nations,Making Lives and Waking Hearts To Serve The Coming Days Family-Society-Eternity,na,TOA PAYOH,SOUTH,SOUTH 5,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,No,No,No,No,na,na,na,"Academic Pacing Programme, University Options Seminar, Exit Seminars, Work Shadowing, Arts Enrichment Programme, Mentoring and Overseas Community Service."
NANYANG JUNIOR COLLEGE,http://www.nanyangjc.moe.edu.sg/,128 SERANGOON AVENUE 3,556111,62842281,na,62855147,na,nyjc@moe.edu.sg,2-minute walk from the Lorong Chuan MRT Station (Circle Line),"22, 24, 53, 73, 133, 105, 135, 136, 156, 853",MR KWEK HIOK CHUANG,MR LOW CHUN MENG,MISS MOH CUI RONG REBECCA,MR ANG KAY YONG JEREMY,MR NING TAU YEE,na,A leading college serving the nation with: - Enhanced character development - Quality staff - Quality learners - Organisational excellence,Uphold Values Enhance Lifeskills Maximise Potential,na,SERANGOON,SOUTH,SOUTH 6,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,No,No,No,No,na,na,na,"Art Elective Programme (AEP), Language Elective Programme (Chinese) (CLEP), Student Leadership Development Programme, Overseas Service-Learning Programme, Career Guidance Programme, Scholar Development Programme, S6 Centre of Excellance for CL and Art"
HWA CHONG INSTITUTION,http://www.hwachong.edu.sg,661 BUKIT TIMAH ROAD,269734,64683955,64683956 / 64665912,67695857,na,admin@hci.edu.sg,TAN KAH KEE MRT,"66, 67, 74, 151, 154, 156, 157, 170, 171, 174, 852, 961",DR HON CHIEW WENG,MR CHAN KWOK LEONG,MDM CHIN-LEOW BEE KUAN,DR CHUNG WEN CHEE,DR YEO HWEE JOO,na,"Defining Holistic Education, and Empowering our students to Live with Passion and Lead with Compassion.","We nurture leaders in research, industry and government to serve our nation.","Hwa Chong Institution's (HCI) mission is to nurture leaders for the nation: leaders with a heart to serve the community.  To date, HCI has produced 56 President's Scholars.  Indeed, Hwa Chong is more than a school that produces top scholars. We also want our students to embrace the values of hard work, integrity, passion, and compassion.  All our students receive a sustained character education which encourages them to work with the community through local and global service-learning initiatives.  At Hwa Chong, students approach life with passion. The school provides a caring environment that is intellectually stimulating, secure, and joyful. It offers a curiosity-driven 6-year Integrated Programme (IP). Drawing from the best of East and West, HCI has an extensive global network that links our students to leading universities and industry partners. Working closely with industry captains and professors, students are encouraged to pursue multidisciplinary interests.  Each year, our students go on to leading institutions for their undergraduate study, with a strong entry to some of the world's best universities.  All Hwa Chong students are also committed to serving society.  Hwa Chong prides itself on grooming servant leaders who display civic responsibility and empathy.  Annually, Hwa Chong students provide support and companionship to the underprivileged. Beyond offering assistance, many have partnered key welfare organisations to helm innovative societal projects.  As active contributors to civil society, Hwa Chong students have reached out both locally  and  overseas, tackling issues of  poverty, illiteracy and inequality.  Often, all these student-led projects mark the beginning of a long-term commitment to service.",BUKIT TIMAH,WEST,WEST 6,INDEPENDENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,MIXED LEVEL,Yes,No,No,Yes,Chinese,na,na,"MOE   Humanities  Programme,  MOE Art Elective Programme, MOE  Bicultural Studies Programme, MOE Language Elective Programme (Chinese),   Hwa  Chong Talent  Development Programmes - Science & Math Talent, School-Based Gifted Education, Ong Teng Cheong Leadership, Gifted and Talented Education, Entrepreneurial Leadership Boarding, Infocomm, Arts & Sports, Global Outreach, Week-long Sabbaticals  (every  term),  Service Learning, Third Languages (French, German, Japanese, Malay), Future Problem Solving, Advanced Science Research  (including  Biomedical,  Biotechnology and Bioengineering, Defence Science, Environmental Engineering, Nanotechnology, Material Science, Interactive  Digital  Media  & Electronics), Hwa Chong-Beijing satellite campus, Xi'an and Wuxi winter campuses, Western Immersions, Stanford and John Hopkins summer programs."
MILLENNIA INSTITUTE,http://www.millenniainstitute.moe.edu.sg,60 BUKIT BATOK WEST AVENUE 8,658965,63023700,na,63023767,na,millennia_inst@moe.edu.sg,Bukit Batok (NS-2),"66, 157, 174, 174E, 506 , 178, 941, 174M - Night",MRS TAN WAN YU,MS TNG YA WEN VALERIE,MR HSU YU CHIH TOMMY,na,na,na,"A Forward-looking Community of Learners, Thinkers and Leaders","Nurturing Talents to Achieve Success. The MI mission is to nurture our students to be grounded on the core values of INTEGRITY, RESILIENCE, RESPECT and RESPONSIBILITY, so that they succeed as contributing members of society.  This is done, in partnership with our stakeholders, by providing a variety of programmes and opportunities to students to have a broad-based learning experience and space to pursue their passion and interests.",na,BUKIT BATOK,WEST,WEST 7,GOVERNMENT SCHOOL,CO-ED SCHOOL,FULL DAY,CENTRALISED INSTITUTE,No,No,No,No,Chinese,Malay,Tamil,"MI.World, SkillsFuture, Gap Week, Design Thinking and I & E motivate and equip students with academic and life skills, 21C Competencies to be future-ready and creative and inventive thinkers and empower students to plan their own holistic development."
BUKIT PANJANG PRIMARY SCHOOL,http://www.bukitpanjangpri.moe.edu.sg,109 CASHEW ROAD,679676,67691912,na,67637462,na,BPPS@MOE.EDU.SG,From Pending LRT station to Choa Chu Kang MRT station,"75, 184",MR BUCKTHA SEELAN,MDM GOH PUAY HOON JENNY,MR TAN SENG CHUAN,na,na,na,"Future Leaders, Concerned Citizens",We are committed to provide a nurturing and thinking environment so as to develop respectful and responsible pupils who value teamwork and life-long learning.,na,BUKIT PANJANG,WEST,WEST 8,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,"Extensive Reading Programme, Learning Support Programme, Pupil Leadership Development, Character Development Programme, Passion Into Action Programme, Enrichment Programmes including Mathematics Olympiad Training, Sony Creative Toys, New South Wales Competitions, Music with Technology."
HAIG GIRLS' SCHOOL,http://www.haiggirls.moe.edu.sg,860 NEW UPPER CHANGI ROAD,467353,63440293,na,64474169,na,HAIGGIRLSSCH@MOE.EDU.SG,"Bedok, Tanah Merah","16,33,32,40,10,12,14,",MISS LO YEN NIE,MISS PHUA AI LEI,MDM LEE LI LI,na,na,na,"Leaders of Character, Striving for Excellence in a Vibrant School",To nurture self-directed learners and critical and creative thinkers who lead and serve with integrity and compassion.,na,GEYLANG,EAST,EAST 5,GOVERNMENT SCHOOL,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,"Prog for Character and Citizenship Education Development, Prog for Arts Education: Teaching Through The Arts, Holistic Assessment, D3T2 (Discover,Develop & Dedicate your Talent Time), Applied Learning Prog:Integrated Project Work, Learning for Life Prog:Music & Performing Arts; Visual Arts & Design."
TECK WHYE PRIMARY SCHOOL,http://www.teckwhyepri.moe.edu.sg,11 TECK WHYE WALK,688261,67691025,na,67635191,na,twps@moe.edu.sg,Chua Chu Kang MRT & LRTs,"975, 190 & 985",MR SURAJ NAIR S/O VENUGOPAL,MRS ONG LAY KHIM,MDM TAN WAN PHING JANICE,na,na,na,A future-ready community of passionate learners  anchored in values and striving for excellence  to make a positive difference.,Inspiring and empowering our learners to be their best for self and others through a supportive environment and innovative & effective teaching-learning practices.,na,CHOA CHU KANG,WEST,WEST 5,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,"Programmes to help the school achieve academic and character excellence: -  Applied Learning Programme - Media Whiz Kids! (Media-based Programmes) Learning for Life Programme - I Lead, I Serve (Leadership Development Programme)"
JURONG PRIMARY SCHOOL,http://www.jurongpri.moe.edu.sg,320 JURONG EAST STREET 32,609476,65618837,na,65641964,na,JPS@MOE.EDU.SG,"Lakeside MRT Station, Jurong East MRT Station",333,MRS MANOKARA SUGUNAVATHI,MDM CHERYL CHOO SHUEH-LI,MR KOH SEE CHOON,na,na,na,A vibrant community of gracious citizens and passionate learners,"We nurture all-rounded pupils of grace, distinction and sound moral values,ready to take on future endeavours.",na,JURONG EAST,WEST,WEST 4,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,"Demo school for IT, UAP & LSP Video Conferencing w GERMANY BEST (Brush Everyday for Shining Teeth) EFG (We Eat More Fruit & Greens) Maths Clinic Claymation Dazzle Video Digital Art Web Savvy Robotics Junior Entrepreneurship Chinese Calligraphy for Non- Chinese pupils Project Hatch"
QUEENSTOWN PRIMARY SCHOOL,http://www.queenstownpri.moe.edu.sg,310 MARGARET DR,149303,64741044,na,64713640,na,qtps@moe.edu.sg,Queenstown MRT,"32, 111, 145, 195",MISS NG POR JOO PEARLY,MRS HELEN TAN,MISS POON PEI PING,na,na,na,A Child. An Explorer. A Friend.,"To provide a holistic education so as to develop confident and self-directed learners, concerned citizens and active contributors.",na,QUEENSTOWN,SOUTH,SOUTH 2,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,"Structured Remedial/Supplementary Prog CDAC Tuition Prog Reading Mums Prog P1 EL Foundation Prog P6 Morning Revision Prog Pre-Assembly Prog Queensway Sec. Math Mentoring Prog ""Let's Learn It"" Math Prog Creative Toy-Making Sci Prog IT Prog Project Work Learning Journeys CIP Prog"
RADIN MAS PRIMARY SCHOOL,http://www.radinmasps.moe.edu.sg,1 BUKIT PURMEI AVENUE,99840,62733937,na,62763083,na,rmps@moe.edu.sg,Tiong Bahru MRT HarbourFront MRT,"SBS 123, 131, 275 SBS 65",MRS WONG SIEW SHAN,MR LOW MIN CHYE,MR KWOK KENG LIAN,na,na,na,"A School Where All Work Hard, Play Hard And Make A Mark","To Develop Each Child Holistically, Equipping Him With Competences For The Future",na,BUKIT MERAH,SOUTH,SOUTH 4,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,Problem-based Learning & WebQuest 6-year Digital and Animation programme Level-Based ICT Programmes E-Learning
RAFFLES GIRLS' PRIMARY SCHOOL,http://www.rafflesgirlspri.moe.edu.sg,21 HILLCREST ROAD,289072,64684377,na,64692024,na,RGPS@MOE.EDU.SG,NEWTON MRT STATION,"66, 67, 74, 151, 154, 156, 157, 170, 171, 174, 852, 961",MRS YUE YOKE MUN NEE WAI,MDM GOH LUNG ENG,MDM GERMAINE NG YING- HAN,MR LIM BOON TECK,na,na,"A premier school with a vibrant, caring community.",To develop our pupils to be useful citizens and lifelong learners.,na,BUKIT TIMAH,SOUTH,SOUTH 3,GOVERNMENT SCHOOL,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,Yes,No,Chinese,Malay,Tamil,"Enrichment programmes: P1 & P2 Speech and Drama P1, P2 and P3 Swimming Programme P3 and P4 Art Programme P4, P5 and P6 Ceramics Programme P5 & P6 Home Economics P5 Music Programme"
ROSYTH SCHOOL,http://www.rosyth.moe.edu.sg,21 SERANGOON NORTH AVENUE 4,555855,64812273,na,64831102,na,rosyth_sch@moe.edu.sg,"Ang Mo Kio, Serangoon","73, 315, 116",MDM ELIS TAN LEE CHING,"MISS HO HWEE MEIN, STELLA",MR CHAN WENG YEW MARVIN,MR LOH YUH POR,na,na,"The School of Tomorrow, Today","Maximizing potential through the development of mind, body and soul","Rosythians are grounded in the I-CARE values as we develop our strengths and competencies to be 'Ready to Serve'.   We aspire to Learn with Passion, Serve with Compassion and Lead with Vision.",SERANGOON,NORTH,NORTH 1,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,Yes,No,Chinese,Malay,Tamil,"The school offers distinctive programmes in the areas of Science and the Aesthetics.  Under the auspices of the Applied Learning Programme (ALP) and Learning for Life Programme (LLP), students go through level-wide activities to broaden their learning in the two focused areas.  Those with the aptitude or interest may also progress to our customized activities for more in-depth learning.  In the area of Science, for instance, students go through a range of activities from life-sciences, use of customized gadgets to investigate scientific concepts, to the application of theories in the design of toys.  Platforms have also been provided for students to apply their learning in the creation of toys/artefacts using science concepts, which are subsequently sold to raise funds for selected beneficiaries.    With regard to the development of Aesthetics, students are exposed to voice-training, dance, playing of musical instruments, to the use of ICT for manga art and 2D animations.  Through the programme, students are exposed to an array of alternative platforms to express their thoughts and ideas.  It is hoped that through the wide range of offerings and the strong foundation that is laid, Rosythians will acquire a broad and deep foundation for a lifelong and life-deep learning."
DAMAI PRIMARY SCHOOL,http://www.damaipri.moe.edu.sg,50 BEDOK RESERVOIR CRESCENT,479225,64456483,na,64499681,na,DAMAI_PS@MOE.EDU.SG,Bedok MRT Station,"Bus 228,66,65,22,21,5 and 506",MDM LEE LAY SEE/ MRS LAY SEE NEUFELD,DR LEE KOK SONK,MDM ONG YIN PENG CATHERINE,na,na,na,A School of Care and Distinction,Nurturing Bright SPARKS (with a Holistic & Inclusive Education),na,BEDOK,EAST,EAST 4,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,"Programme for Active Learning (PAL), Swimsafer Programme, Math Enrichment Programmes"
